signal,dk_contact,mcu_pin,required_states,voltage_v,logic_classification,instrument,uncertainty,status,blocker
IMU_SPI_SCK,CN12-6,PE15,"off/off; DK-off/glove-on; DK-on/glove-off; both-on; modes0/1/2; debugger-run/halt/reset",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_SPI_MISO,CN12-5,PH8,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_SPI_MOSI,CN12-4,PG2,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_THUMB_CS_N,CN12-3,PA3,"same ten states",,,,NOT_MEASURED,"No physical 10k pull-up fixture"
IMU_INDEX_CS_N,CN12-2,PE14,"same ten states",,,,NOT_MEASURED,"No physical 10k pull-up fixture"
IMU_MIDDLE_CS_N,CN12-1,PE7,"same ten states",,,,NOT_MEASURED,"No physical 10k pull-up fixture"
IMU_RING_CS_N,CN11-8,PD6,"same ten states",,,,NOT_MEASURED,"No physical 10k pull-up fixture"
IMU_PINKY_CS_N,CN11-7,PE13,"same ten states",,,,NOT_MEASURED,"No physical 10k pull-up fixture"
IMU_THUMB_INT1,CN11-6,PE10,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_INDEX_INT1,CN11-5,PH5,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_MIDDLE_INT1,CN11-4,PE9,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_RING_INT1,CN11-3,PD0,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
IMU_PINKY_INT1,CN7-4,PD11,"same ten states",,,,NOT_MEASURED,"No DK/harness/DMM or oscilloscope"
